country_txt,provstate,city,nkill
Afghanistan,Badakhshan,Aab Khor,1.0
Afghanistan,Badakhshan,Aab Raghak,0.0
Afghanistan,Badakhshan,Abjin,1.0
Afghanistan,Badakhshan,Angarian,1.0
Afghanistan,Badakhshan,Arghanj Khaw District,33.0
Afghanistan,Badakhshan,Argo District,11.0
Afghanistan,Badakhshan,Aryaan,2.0
Afghanistan,Badakhshan,Aryan,5.0
Afghanistan,Badakhshan,Aspakhah,5.0
Afghanistan,Badakhshan,Aylaq-E Sangi,2.0
Afghanistan,Badakhshan,Bagh-E-Sufi,3.0
Afghanistan,Badakhshan,Baharak District,40.0
Afghanistan,Badakhshan,Baharestan,1.0
Afghanistan,Badakhshan,Band-E Separ,7.0
Afghanistan,Badakhshan,Basand,4.0
Afghanistan,Badakhshan,Batash,0.0
Afghanistan,Badakhshan,Chongai,0.0
Afghanistan,Badakhshan,Dar I Yakh,1.0
Afghanistan,Badakhshan,Dara Khostak,18.0
Afghanistan,Badakhshan,Dara-E Khistak,42.0
Afghanistan,Badakhshan,Darayim District,2.0
Afghanistan,Badakhshan,Darkhan,13.0
Afghanistan,Badakhshan,Darkhar,2.0
Afghanistan,Badakhshan,Darwaz District,60.0
Afghanistan,Badakhshan,Darwazbala District,39.0
Afghanistan,Badakhshan,Dawing,1.0
Afghanistan,Badakhshan,Dawlatabad,4.0
Afghanistan,Badakhshan,Deh Bala,2.0
Afghanistan,Badakhshan,Deh Naw,4.0
Afghanistan,Badakhshan,Depa,3.0
Afghanistan,Badakhshan,Faizabad,43.0
Afghanistan,Badakhshan,Faizabad District,12.0
Afghanistan,Badakhshan,Faqir,7.0
Afghanistan,Badakhshan,Farghamir,0.0
Afghanistan,Badakhshan,Gardana,3.0
Afghanistan,Badakhshan,Gardana Ahmad,4.0
Afghanistan,Badakhshan,Garjak,1.0
Afghanistan,Badakhshan,Ghaib,1.0
Afghanistan,Badakhshan,Ghanio,10.0
Afghanistan,Badakhshan,Howz,0.0
Afghanistan,Badakhshan,Iskan,2.0
Afghanistan,Badakhshan,Jaghtu,0.0
Afghanistan,Badakhshan,Jurm,6.0
Afghanistan,Badakhshan,Jurm District,93.0
Afghanistan,Badakhshan,Keshem,12.0
Afghanistan,Badakhshan,Keshem District,5.0
Afghanistan,Badakhshan,Keshoo,3.0
Afghanistan,Badakhshan,Khanabad District,1.0
Afghanistan,Badakhshan,Khash District,34.0
Afghanistan,Badakhshan,Khastak,5.0
Afghanistan,Badakhshan,Khastik Dara,8.0
Afghanistan,Badakhshan,Kishim,0.0
Afghanistan,Badakhshan,Kohistan District,29.0
Afghanistan,Badakhshan,Kuf Ab District,0.0
Afghanistan,Badakhshan,Kunkad,4.0
Afghanistan,Badakhshan,Kuran Wa Munjan,5.0
Afghanistan,Badakhshan,Kuran Wa Munjan District,41.0
Afghanistan,Badakhshan,Lab Dara,2.0
Afghanistan,Badakhshan,Miliwai Dara,4.0
Afghanistan,Badakhshan,Mughlan,4.0
Afghanistan,Badakhshan,Mulayan,0.0
Afghanistan,Badakhshan,Mushatel,6.0
Afghanistan,Badakhshan,Nasratabad,2.0
Afghanistan,Badakhshan,Naw Abad-E-Danishmandan,1.0
Afghanistan,Badakhshan,Olar,3.0
Afghanistan,Badakhshan,Pateer,1.0
Afghanistan,Badakhshan,Petawak,0.0
Afghanistan,Badakhshan,Pitawak,1.0
Afghanistan,Badakhshan,Pul-E-Khoch,3.0
Afghanistan,Badakhshan,Pul-E-Sangani,6.0
Afghanistan,Badakhshan,Qalfo,0.0
Afghanistan,Badakhshan,Qarat,21.0
Afghanistan,Badakhshan,Qarska,3.0
Afghanistan,Badakhshan,Qarya Mughaib,0.0
Afghanistan,Badakhshan,Raghistan District,30.0
Afghanistan,Badakhshan,Rezakan,4.0
Afghanistan,Badakhshan,Safid Yalor,2.0
Afghanistan,Badakhshan,Sar Jangal,6.0
Afghanistan,Badakhshan,Sar-E Tangi,2.0
Afghanistan,Badakhshan,Sena,0.0
Afghanistan,Badakhshan,Sepak,1.0
Afghanistan,Badakhshan,Shafchan Qaryajat,0.0
Afghanistan,Badakhshan,Shahada District,24.0
Afghanistan,Badakhshan,Shahri Buzurg District,7.0
Afghanistan,Badakhshan,Shaiber,0.0
Afghanistan,Badakhshan,Shapo,2.0
Afghanistan,Badakhshan,Shashpul,1.0
Afghanistan,Badakhshan,Sheghnan,4.0
Afghanistan,Badakhshan,Sheikh Wali,26.0
Afghanistan,Badakhshan,Shewa,14.0
Afghanistan,Badakhshan,Shkashim District,2.0
Afghanistan,Badakhshan,Shorabak,1.0
Afghanistan,Badakhshan,Souch,18.0
Afghanistan,Badakhshan,Spin Gul,2.0
Afghanistan,Badakhshan,Tagab District,54.0
Afghanistan,Badakhshan,Taraqen,4.0
Afghanistan,Badakhshan,Tashkan District,31.0
Afghanistan,Badakhshan,Tasira,6.0
Afghanistan,Badakhshan,Tergaran,22.0
Afghanistan,Badakhshan,Toroq Kalan,1.0
Afghanistan,Badakhshan,Unknown,65.0
Afghanistan,Badakhshan,Walik,8.0
Afghanistan,Badakhshan,Warduj District,180.0
Afghanistan,Badakhshan,Yaftal Sufla District,32.0
Afghanistan,Badakhshan,Yaftal-E-Payan,4.0
Afghanistan,Badakhshan,Yamgan District,45.0
Afghanistan,Badakhshan,Yawan District,0.0
Afghanistan,Badakhshan,Yomul,4.0
Afghanistan,Badakhshan,Zard Khak,1.0
Afghanistan,Badakhshan,Zebak,8.0
Afghanistan,Badakhshan,Zebak District,45.0
Afghanistan,Badakhshan,Zoo,2.0
Afghanistan,Badghis,Aab Kamra,4.0
Afghanistan,Badghis,Ab Kamari District,104.0
Afghanistan,Badghis,Abtauda,17.0
Afghanistan,Badghis,Akazai,70.0
Afghanistan,Badghis,Andarai,4.0
