country_txt,provstate,city,gname,nkill
Afghanistan,Badakhshan,Aab Khor,Taliban,1.0
Afghanistan,Badakhshan,Aab Raghak,Taliban,0.0
Afghanistan,Badakhshan,Abjin,Taliban,1.0
Afghanistan,Badakhshan,Angarian,Taliban,1.0
Afghanistan,Badakhshan,Arghanj Khaw District,Taliban,28.0
Afghanistan,Badakhshan,Argo District,Taliban,7.0
Afghanistan,Badakhshan,Aspakhah,Taliban,5.0
Afghanistan,Badakhshan,Aylaq-E Sangi,Taliban,2.0
Afghanistan,Badakhshan,Bagh-E-Sufi,Taliban,3.0
Afghanistan,Badakhshan,Baharak District,Taliban,36.0
Afghanistan,Badakhshan,Band-E Separ,Taliban,7.0
Afghanistan,Badakhshan,Basand,Taliban,4.0
Afghanistan,Badakhshan,Batash,Taliban,0.0
Afghanistan,Badakhshan,Dara Khostak,Taliban,18.0
Afghanistan,Badakhshan,Dara-E Khistak,Taliban,42.0
Afghanistan,Badakhshan,Darayim District,Taliban,1.0
Afghanistan,Badakhshan,Darkhan,Taliban,13.0
Afghanistan,Badakhshan,Darkhar,Taliban,2.0
Afghanistan,Badakhshan,Darwaz District,Taliban,60.0
Afghanistan,Badakhshan,Darwazbala District,Taliban,38.0
Afghanistan,Badakhshan,Dawing,Taliban,1.0
Afghanistan,Badakhshan,Dawlatabad,Taliban,4.0
Afghanistan,Badakhshan,Deh Bala,Taliban,2.0
Afghanistan,Badakhshan,Deh Naw,Taliban,4.0
Afghanistan,Badakhshan,Depa,Taliban,3.0
Afghanistan,Badakhshan,Faizabad,Khorasan Chapter Of The Islamic State,1.0
Afghanistan,Badakhshan,Faizabad,Taliban,33.0
Afghanistan,Badakhshan,Faizabad District,Taliban,12.0
Afghanistan,Badakhshan,Faqir,Taliban,7.0
Afghanistan,Badakhshan,Farghamir,Taliban,0.0
Afghanistan,Badakhshan,Gardana Ahmad,Taliban,4.0
Afghanistan,Badakhshan,Garjak,Taliban,1.0
Afghanistan,Badakhshan,Ghaib,Taliban,1.0
Afghanistan,Badakhshan,Ghanio,Taliban,10.0
Afghanistan,Badakhshan,Howz,Taliban,0.0
Afghanistan,Badakhshan,Iskan,Taliban,2.0
Afghanistan,Badakhshan,Jaghtu,Taliban,0.0
Afghanistan,Badakhshan,Jurm,Taliban,6.0
Afghanistan,Badakhshan,Jurm District,Taliban,89.0
Afghanistan,Badakhshan,Keshem,Taliban,3.0
Afghanistan,Badakhshan,Keshem District,Taliban,5.0
Afghanistan,Badakhshan,Keshoo,Taliban,3.0
Afghanistan,Badakhshan,Khanabad District,Taliban,1.0
Afghanistan,Badakhshan,Khash District,Taliban,33.0
Afghanistan,Badakhshan,Khastak,Taliban,5.0
Afghanistan,Badakhshan,Khastik Dara,Taliban,8.0
Afghanistan,Badakhshan,Kishim,Taliban,0.0
Afghanistan,Badakhshan,Kohistan District,Taliban,29.0
Afghanistan,Badakhshan,Kunkad,Taliban,4.0
Afghanistan,Badakhshan,Kuran Wa Munjan,Taliban,5.0
Afghanistan,Badakhshan,Kuran Wa Munjan District,Taliban,36.0
Afghanistan,Badakhshan,Lab Dara,Taliban,2.0
Afghanistan,Badakhshan,Miliwai Dara,Taliban,4.0
Afghanistan,Badakhshan,Mughlan,Taliban,4.0
Afghanistan,Badakhshan,Mushatel,Taliban,6.0
Afghanistan,Badakhshan,Nasratabad,Taliban,2.0
Afghanistan,Badakhshan,Olar,Taliban,3.0
Afghanistan,Badakhshan,Petawak,Taliban,0.0
Afghanistan,Badakhshan,Pitawak,Taliban,1.0
Afghanistan,Badakhshan,Pul-E-Khoch,Taliban,3.0
Afghanistan,Badakhshan,Pul-E-Sangani,Taliban,6.0
Afghanistan,Badakhshan,Qalfo,Taliban,0.0
Afghanistan,Badakhshan,Qarat,Taliban,21.0
Afghanistan,Badakhshan,Qarya Mughaib,Taliban,0.0
Afghanistan,Badakhshan,Raghistan District,Taliban,27.0
Afghanistan,Badakhshan,Safid Yalor,Taliban,2.0
